,Actual,Predicted
170,40.01,40.02640000000001
1497,30.95,30.96379999999995
1602,27.04,27.041599999999985
2059,36.89,36.86889999999997
274,43.8,43.79539999999998
1986,32.53,32.52710000000004
616,10.31,10.318700000000012
1167,28.7,28.70319999999997
56,43.96,43.954600000000006
2240,33.98,33.97909999999996
899,8.85,8.848200000000013
1758,24.25,24.247400000000003
1005,22.53,22.541099999999982
2502,27.18,27.176999999999992
1115,24.84,24.836499999999987
357,31.9,31.89930000000002
1820,25.21,25.209400000000006
1550,35.27,35.28259999999996
1276,35.46,35.45429999999995
1202,31.36,31.357599999999948
2400,25.14,25.138700000000036
2489,26.09,26.07400000000002
2167,31.6,31.592000000000027
1147,23.52,23.517100000000013
2156,31.57,31.550800000000045
302,32.55,32.55190000000002
2176,29.68,29.67919999999997
1456,41.3,41.28859999999998
239,41.47,41.47639999999994
1746,21.9,21.900800000000036
148,45.1,45.095800000000025
2028,30.42,30.410399999999978
1618,25.82,25.818600000000014
1584,31.47,31.46320000000002
2409,26.97,26.968799999999984
1585,30.83,30.81680000000001
415,29.02,29.000999999999994
1230,31.89,31.88980000000002
2307,25.84,25.83499999999997
185,36.81,36.806099999999994
430,41.86,41.8553
643,8.89,8.866000000000005
2067,38.11,38.12320000000006
888,9.18,9.18220000000001
727,14.91,14.908600000000014
1263,35.22,35.231899999999925
773,9.5,9.497700000000002
612,10.46,10.463500000000012
1946,27.55,27.546300000000006
1843,21.74,21.749100000000002
659,12.23,12.232600000000005
524,15.87,15.84429999999999
230,42.52,42.481799999999915
289,41.0,40.99369999999998
1745,21.71,21.70610000000002
2237,29.86,29.866700000000034
5,48.16,48.168900000000015
936,14.15,14.144400000000012
1908,22.81,22.803899999999995
2398,25.91,25.905700000000003
2099,30.05,30.050700000000028
1123,24.44,24.437200000000026
756,14.59,14.615799999999979
420,30.81,30.809299999999965
1675,22.51,22.49829999999999
1583,31.9,31.89930000000002
428,40.33,40.336700000000064
2457,29.54,29.542699999999982
1237,32.6,32.60329999999996
227,43.19,43.17220000000003
1046,31.07,31.070800000000034
846,5.7,5.694400000000002
1563,32.18,32.183199999999985
1705,21.42,21.40120000000004
2165,30.79,30.791599999999995
8,52.48,52.48300000000001
2159,29.56,29.557099999999963
80,46.06,46.050500000000085
1548,35.37,35.32490000000005
1019,26.42,26.416600000000027
25,42.72,42.73390000000001
679,16.99,16.973400000000016
1925,23.78,23.7899
1975,32.54,32.54230000000005
1169,29.06,29.063599999999965
1710,22.27,22.266799999999993
2040,34.64,34.64939999999997
1931,23.5,23.4969
2139,28.1,28.099099999999957
1340,41.19,41.19640000000004
2316,27.36,27.3601
136,48.58,48.57530000000001
1519,29.21,29.197900000000022
1587,29.94,29.93869999999997
1918,22.38,22.383700000000047
791,7.1,7.113100000000004
1989,33.2,33.20239999999997
2287,27.36,27.3601
996,13.17,13.158200000000013
276,40.76,40.767299999999985
1561,33.4,33.395
881,9.33,9.329600000000017
251,43.54,43.5093
909,8.99,9.003300000000001
816,7.99,7.993100000000002
2499,25.45,25.454700000000013
1282,36.01,36.00260000000002
1762,24.54,24.546400000000002
925,12.67,12.690200000000011
999,17.06,17.05449999999999
1533,34.1,34.09999999999995
1486,33.9,33.90280000000001
892,9.21,9.18540000000001
1041,30.48,30.475999999999978
2394,28.22,28.22049999999998
1498,30.63,30.613199999999974
2480,28.3,28.299100000000024
1119,25.6,25.594300000000004
87,49.33,49.33060000000003
628,9.79,9.790499999999993
307,36.64,36.62729999999996
1775,23.15,23.154100000000007
1567,32.37,32.37349999999994
2486,27.02,27.013300000000044
2515,25.97,25.963100000000008
1794,25.12,25.122099999999982
982,7.08,7.077600000000005
2206,27.36,27.3601
862,6.82,6.819399999999996
1252,30.51,30.496100000000038
409,28.3,28.299100000000024
1656,22.25,22.252599999999997
1857,22.19,22.189500000000034
1972,34.34,34.372800000000076
1473,38.07,38.05880000000006
1442,48.67,48.65689999999999
1940,25.83,25.826099999999983
1662,21.76,21.751199999999997
1290,34.35,34.372800000000076
51,41.39,41.36299999999995
137,48.41,48.404999999999994
1144,23.03,23.027999999999984
424,35.09,35.08859999999997
580,14.61,14.615799999999979
135,49.84,49.84870000000004
1721,22.3,22.304899999999993
503,17.36,17.319999999999983
2224,29.65,29.64779999999999
2326,29.8,29.802900000000033
1061,31.1,31.096199999999957
954,10.75,10.774799999999995
1892,23.75,23.736600000000006
1529,33.16,33.15039999999998
1783,25.15,25.146800000000045
2066,38.1,38.06960000000006
2410,27.27,27.2707
305,33.71,33.699999999999974
857,6.02,6.0257999999999985
164,40.94,40.94170000000004
1917,21.55,21.542299999999976
1225,33.37,33.369199999999935
518,17.5,17.53519999999998
1016,28.01,27.99879999999999
1116,24.79,24.793499999999977
1307,32.5,32.49839999999999
2295,24.74,24.743999999999968
2209,27.75,27.74659999999999
1606,26.83,26.820500000000024
2072,40.49,40.508000000000095
2375,23.98,23.984300000000005
209,34.67,34.68039999999998
2120,26.34,26.336899999999986
406,26.51,26.507600000000036
1979,33.1,33.104099999999995
1011,27.37,27.376000000000055
1696,19.37,19.348599999999966
2387,28.41,28.407300000000014
431,43.74,43.745999999999924
911,8.41,8.429500000000017
2278,28.61,28.6092
913,8.01,7.997800000000002
47,42.79,42.795600000000015
695,15.0,14.980700000000015
2493,25.8,25.803600000000003
558,12.68,12.690200000000011
1472,38.36,38.334300000000006
306,34.48,34.47850000000002
1274,35.51,35.50810000000008
1943,26.65,26.647700000000032
1200,30.82,30.81630000000001
1965,29.78,29.79470000000003
2030,34.42,34.420700000000025
309,39.77,39.76980000000005
1588,28.97,28.977999999999998
244,46.69,46.68889999999997
1846,21.18,21.174600000000034
815,7.97,7.973400000000011
1871,22.73,22.724399999999996
45,46.88,46.88669999999998
1686,22.17,22.16780000000002
1312,35.23,35.231899999999925
1440,50.43,50.364999999999945
1526,32.33,32.33269999999995
429,42.0,41.997499999999924
789,7.29,7.2873999999999945
43,45.2,45.18790000000003
2143,35.83,35.814600000000006
117,51.19,51.21709999999998
1183,24.47,24.471199999999996
2163,30.76,30.763700000000032
1313,35.18,35.18069999999996
1930,24.29,24.258600000000005
819,7.36,7.373699999999993
304,33.01,33.012200000000064
194,37.3,37.26130000000007
1037,33.56,33.57230000000002
1407,42.62,42.63560000000004
2267,31.7,31.706399999999977
2160,29.12,29.122399999999985
2300,24.95,24.947700000000008
1318,37.95,37.945500000000045
1250,29.04,29.055899999999966
1342,43.12,43.15590000000006
632,7.44,7.435100000000003
1122,25.44,25.454700000000013
498,17.07,17.06489999999999
1683,21.82,21.819799999999987
1682,22.34,22.33849999999997
2513,24.96,24.953699999999998
1580,31.29,31.29980000000004
335,43.31,43.320499999999974
858,5.84,5.883199999999991
2415,27.03,27.03360000000001
224,39.91,39.896700000000045
2260,30.38,30.374800000000032
1706,21.87,21.868099999999973
2257,29.23,29.23029999999998
2088,34.98,34.97400000000002
353,35.44,35.44140000000002
426,38.92,38.90970000000004
14,50.72,50.71609999999993
312,45.65,45.65250000000001
1392,47.36,47.360399999999984
988,5.91,5.904100000000002
2215,27.2,27.198099999999986
1631,23.82,23.81239999999996
28,42.1,42.10159999999996
1538,35.12,35.11799999999993
1934,24.16,24.162200000000013
1909,21.99,21.986
1938,24.46,24.4558
1685,20.97,20.971200000000014
2031,34.99,34.98610000000001
2443,31.39,31.38530000000004
1816,25.5,25.497499999999995
2401,25.41,25.386300000000016
1530,33.07,33.06839999999999
2305,26.29,26.277900000000013
120,49.11,49.1997
1884,22.16,22.161900000000017
2497,25.66,25.65600000000001
1595,27.73,27.726699999999997
1836,22.52,22.520699999999987
40,45.3,45.2891
2126,28.25,28.2494
1443,47.18,47.16970000000005
1168,29.33,29.32229999999995
1330,41.13,41.11809999999997
1262,35.77,35.77750000000004
192,36.97,36.970599999999955
657,10.79,10.796699999999994
1568,31.7,31.706399999999977
1101,26.55,26.552700000000012
179,41.32,41.294199999999975
1722,21.57,21.573699999999988
853,5.98,5.9842999999999975
1942,27.18,27.176999999999992
225,43.35,43.38379999999998
513,19.39,19.348599999999966
869,6.59,6.591500000000002
800,6.92,6.903599999999996
1492,33.72,33.71369999999997
1896,22.75,22.74919999999999
1621,24.72,24.743999999999968
303,32.82,32.82110000000004
2,46.99,47.00850000000005
1974,33.42,33.40790000000003
355,29.85,29.847400000000015
1416,43.49,43.491499999999995
495,19.84,19.82469999999999
669,15.16,15.148400000000015
238,39.17,39.175299999999936
750,16.14,16.13460000000002
1859,22.75,22.74919999999999
783,7.27,7.265399999999992
2063,36.18,36.18709999999996
642,9.25,9.27649999999999
526,16.53,16.55729999999997
2251,30.91,30.905199999999994
412,27.27,27.2707
550,11.75,11.773399999999986
549,11.28,11.3384
832,5.08,5.124600000000004
2284,28.11,28.105899999999988
2236,29.85,29.847400000000015
1419,41.87,41.873200000000054
784,7.57,7.576999999999995
1108,27.19,27.18930000000002
1840,21.8,21.797999999999984
1772,24.36,24.363400000000002
1557,32.85,32.84790000000001
1242,33.0,32.999900000000046
441,30.44,30.441200000000002
565,13.49,13.476500000000014
953,10.12,10.152799999999987
44,45.27,45.28140000000005
2032,33.91,33.908299999999976
1216,32.74,32.7472
539,12.97,12.973700000000019
465,29.49,29.509200000000035
1928,22.2,22.199400000000015
1880,21.04,21.055399999999977
1284,36.09,36.08929999999996
2477,29.5,29.519800000000036
2324,28.26,28.257400000000025
1247,30.88,30.874599999999944
2227,29.2,29.18790000000003
477,24.37,24.377400000000044
1358,50.53,50.582400000000014
10,53.35,53.35339999999994
1434,47.08,47.09690000000001
1653,22.77,22.770699999999987
822,7.25,7.2496
1088,32.98,32.976099999999995
2013,29.64,29.63379999999997
1754,22.16,22.161900000000017
1723,20.61,20.60449999999997
1752,21.85,21.848899999999958
1980,33.31,33.306099999999994
847,6.18,6.1804999999999986
361,28.33,28.32999999999997
401,26.42,26.416600000000027
579,14.09,14.082399999999973
1138,21.74,21.749100000000002
