Date,Close,Volume,Open,High,Low
02/26/2024,48.35,1774816,47.31,49.25,47.06
02/23/2024,47.34,2169189,46.58,47.88,45.97
02/22/2024,46.99,3419232,46.29,47.01,45.37
02/21/2024,47.22,2255800,46.71,47.65,46.525
02/20/2024,46.43,5062305,47.90,47.90,44.9808
02/16/2024,48.16,3268485,51.12,51.12,48.14
02/15/2024,51.06,4993290,49.50,52.05,49.40
02/14/2024,52.24,3490624,52.97,53.26,51.19
02/13/2024,52.48,2024126,52.31,53.05,51.82
02/12/2024,53.12,2322434,53.56,54.52,53.10
02/09/2024,53.35,2016748,52.98,53.64,52.74
02/08/2024,52.87,1747581,52.48,53.65,52.05
02/07/2024,52.54,2671610,50.11,53.29,49.98
02/06/2024,49.90,2461566,50.76,52.26,49.90
02/05/2024,50.72,1767002,48.82,51.2345,48.52
02/02/2024,49.31,1595627,50.29,50.41,48.94
02/01/2024,50.23,2893076,50.85,51.65,47.87
01/31/2024,50.51,2207162,51.30,51.97,50.50
01/30/2024,51.29,2911146,48.37,51.30,48.32
01/29/2024,48.91,2774034,48.48,49.39,48.08
01/26/2024,48.54,2141249,46.08,48.58,45.85
01/25/2024,46.05,2403321,45.70,46.445,45.11
01/24/2024,44.79,1812374,44.35,45.06,43.73
01/23/2024,43.87,2291288,43.07,44.04,42.945
01/22/2024,43.05,1627579,42.81,43.535,42.32
01/19/2024,42.72,1713954,42.29,42.73,41.6508
01/18/2024,42.14,2333677,41.55,42.28,40.63
01/17/2024,41.17,2980382,41.42,41.83,41.01
01/16/2024,42.10,4138250,42.93,44.73,41.83
01/12/2024,42.86,2230744,42.56,42.99,42.13
01/11/2024,41.73,1394340,41.16,41.735,40.97
01/10/2024,40.95,1236918,41.63,41.925,40.53
01/09/2024,41.47,1466910,41.75,41.83,40.95
01/08/2024,41.88,2218340,40.80,41.88,40.525
01/05/2024,42.02,3206856,43.33,43.53,41.76
01/04/2024,42.95,2426267,44.50,45.09,42.90
01/03/2024,43.89,3662594,44.50,44.88,42.8551
01/02/2024,44.40,1868241,44.30,45.17,44.07
12/29/2023,43.96,1286748,44.23,44.63,43.76
12/28/2023,44.26,1251886,45.00,45.07,44.15
12/27/2023,45.30,1033185,45.79,45.94,45.08
12/26/2023,45.74,1028311,45.88,46.16,45.28
12/22/2023,45.28,1379382,45.66,46.32,45.20
12/21/2023,45.20,1926246,45.20,45.68,44.34
12/20/2023,45.27,2629182,46.90,47.8136,45.19
12/19/2023,46.88,3450239,44.47,46.945,44.39
12/18/2023,44.37,2951803,43.82,44.92,43.50
12/15/2023,42.79,4901254,43.09,43.45,42.59
12/14/2023,43.05,2898873,42.22,43.21,42.095
12/13/2023,41.08,3258204,40.48,41.15,40.00
12/12/2023,40.34,2393528,40.82,40.95,39.82
12/11/2023,41.39,1910473,40.77,41.58,40.55
12/08/2023,40.98,1511776,41.28,42.00,40.93
12/07/2023,40.84,1863598,41.27,41.70,40.54
12/06/2023,40.99,2074957,42.10,42.46,40.97
12/05/2023,42.63,3277203,44.05,44.341,42.575
12/04/2023,43.96,1717756,44.47,45.15,43.785
12/01/2023,45.11,1675729,44.21,45.75,44.08
11/30/2023,44.40,2196040,44.84,45.51,43.81
11/29/2023,44.51,2255638,45.89,46.31,44.385
11/28/2023,45.28,1579805,45.60,46.12,45.00
11/27/2023,45.60,1739508,44.74,45.65,44.36
11/24/2023,45.12,621769,45.52,46.04,45.09
11/22/2023,45.09,1533473,43.89,45.59,43.58
11/21/2023,44.69,1639569,45.01,45.42,44.39
11/20/2023,45.39,1526992,45.41,45.78,44.96
11/17/2023,45.01,2345504,44.45,46.00,44.44
11/16/2023,44.35,3108750,45.77,45.98,43.63
11/15/2023,46.27,2270077,45.06,47.37,45.06
11/14/2023,45.52,1804048,44.56,45.70,44.495
11/13/2023,44.42,1458161,43.72,44.43,43.55
11/10/2023,43.83,1731675,42.79,43.84,42.59
11/09/2023,42.31,1902203,43.89,44.37,42.16
11/08/2023,43.77,2372236,43.63,44.52,43.43
11/07/2023,43.98,2251008,44.36,44.4084,43.41
11/06/2023,45.29,2349740,46.50,46.70,44.62
11/03/2023,45.99,3615212,47.30,47.465,44.25
11/02/2023,47.44,3239646,48.48,50.145,46.8948
11/01/2023,48.20,2190392,47.61,48.87,46.78
10/31/2023,47.53,1576421,46.11,47.57,45.56
10/30/2023,46.06,1465129,46.67,46.97,45.11
10/27/2023,46.10,1390687,46.51,46.70,45.32
10/26/2023,46.62,2074459,45.82,46.97,44.755
10/25/2023,46.23,1690772,47.05,47.7052,45.98
10/24/2023,47.03,2030801,48.04,48.66,46.98
10/23/2023,47.50,1912146,47.98,48.22,46.90
10/20/2023,48.25,1769773,49.36,49.89,48.03
10/19/2023,49.33,1985438,50.06,50.51,49.01
10/18/2023,50.29,2489526,48.53,50.92,48.50
10/17/2023,48.69,1556535,48.16,49.20,48.08
10/16/2023,48.17,1811753,47.27,48.27,46.95
10/13/2023,46.60,1590194,47.78,47.95,46.45
10/12/2023,46.87,2013101,47.77,47.92,45.855
10/11/2023,47.60,1728995,46.71,47.805,46.52
10/10/2023,47.37,2875067,45.83,48.24,45.80
10/09/2023,45.84,2464642,46.45,46.515,44.70
10/06/2023,45.43,1595276,46.63,46.63,45.25
10/05/2023,46.00,3155314,45.00,46.37,44.89
10/04/2023,45.65,4653039,48.14,48.16,45.31
10/03/2023,49.36,4150773,51.26,51.5412,47.8675
10/02/2023,52.25,1784485,53.74,53.87,51.92
09/29/2023,53.53,2459107,55.16,55.24,53.10
09/28/2023,55.21,2590342,54.26,55.88,54.11
09/27/2023,54.26,2055122,53.76,54.82,53.355
09/26/2023,53.20,2166046,53.08,54.5299,53.01
09/25/2023,54.09,1837606,53.13,54.25,53.00
09/22/2023,53.21,2493052,54.41,55.25,53.015
09/21/2023,53.96,2776994,54.39,56.38,53.69
09/20/2023,52.90,1745366,52.71,54.14,52.685
09/19/2023,53.05,2283705,54.65,54.82,52.365
09/18/2023,54.29,2701057,54.77,55.85,53.531
09/15/2023,53.88,4046346,54.34,54.46,53.08
09/14/2023,54.82,2098492,54.76,55.09,54.325
09/13/2023,54.06,2372185,54.77,54.77,53.07
09/12/2023,54.50,2191170,54.00,55.11,53.315
09/11/2023,54.02,4251001,54.09,55.425,53.59
09/08/2023,54.09,4311029,51.97,54.89,51.90
09/07/2023,51.19,2863511,49.56,51.22,49.08
09/06/2023,49.43,1737164,49.00,49.90,48.9233
09/05/2023,49.21,1631545,49.42,50.05,48.99
09/01/2023,49.11,1855640,47.91,49.56,47.39
08/31/2023,46.89,2202676,47.61,47.765,46.19
08/30/2023,47.50,1845102,47.53,47.95,47.1725
08/29/2023,47.65,2038083,47.29,47.68,46.48
08/28/2023,47.11,1893305,47.36,47.88,46.66
08/25/2023,47.77,3571412,46.57,48.68,46.33
08/24/2023,46.18,1798376,45.42,46.47,44.95
08/23/2023,45.67,2283832,45.93,45.99,44.8418
08/22/2023,46.36,2438113,47.20,47.45,46.33
08/21/2023,46.71,2714620,48.43,48.74,46.40
08/18/2023,48.40,2407644,46.77,48.73,46.77
08/17/2023,47.25,1658728,47.40,48.03,46.955
08/16/2023,46.49,1641176,47.30,47.95,46.34
08/15/2023,46.91,2821014,48.26,48.26,46.49
08/14/2023,49.52,1910866,49.44,49.70,48.68
08/11/2023,49.84,2531505,48.99,50.43,48.78
08/10/2023,48.58,1906009,48.63,49.49,47.82
08/09/2023,48.41,3858457,46.67,49.15,46.12
08/08/2023,46.63,1789743,45.50,46.7606,44.735
08/07/2023,46.37,1843735,45.58,47.15,45.58
08/04/2023,45.24,2703850,46.43,46.80,44.95
08/03/2023,45.43,3751812,45.00,46.57,42.82
08/02/2023,47.41,2058742,47.95,48.59,46.81
08/01/2023,48.09,1612511,47.23,48.2778,47.06
07/31/2023,47.44,1644961,47.40,47.96,47.185
07/28/2023,47.29,1302530,46.35,47.44,46.08
07/27/2023,46.01,2150407,46.33,46.88,45.885
07/26/2023,46.29,2111898,44.87,46.645,44.63
07/25/2023,45.10,2070524,45.15,46.15,44.91
07/24/2023,45.46,2762393,43.91,46.24,43.71
07/21/2023,43.50,2459750,43.00,43.66,42.21
07/20/2023,42.73,1747578,42.40,42.82,41.91
07/19/2023,41.70,1723664,41.52,41.79,40.86
07/18/2023,40.80,1355825,40.05,41.33,39.965
07/17/2023,39.81,1602330,39.90,40.23,39.49
07/14/2023,39.90,2000730,40.27,40.3268,39.46
07/13/2023,40.71,1757735,40.26,41.378,40.26
07/12/2023,40.35,2174542,41.86,42.59,40.32
07/11/2023,41.29,1890258,40.68,41.54,40.49
07/10/2023,40.58,2055972,41.49,41.80,40.30
07/07/2023,41.47,1635090,39.90,41.89,39.90
07/06/2023,40.09,2312263,40.27,40.60,39.18
07/05/2023,40.54,2058402,40.85,41.00,40.17
07/03/2023,40.57,1423935,41.42,41.45,40.57
06/30/2023,40.94,2984498,41.30,41.33,40.42
06/29/2023,41.44,3457763,41.71,42.60,41.01
06/28/2023,41.81,2321589,40.92,42.085,40.50
06/27/2023,40.74,1481343,39.97,41.05,39.55
06/26/2023,39.88,1376069,39.72,40.39,39.08
06/23/2023,39.67,2703036,39.26,40.13,39.21
06/22/2023,40.01,2257558,39.48,40.01,38.63
06/21/2023,40.43,2632995,39.10,40.71,38.92
06/20/2023,39.45,1820186,40.48,40.49,39.03
06/16/2023,40.65,3626539,40.90,40.90,39.73
06/15/2023,40.41,1754383,39.81,40.45,39.41
06/14/2023,39.81,2160650,40.73,40.84,38.97
06/13/2023,40.10,1810799,41.50,41.78,40.05
06/12/2023,40.77,1692295,40.64,41.53,40.39
06/09/2023,41.69,2157805,41.34,41.78,40.25
06/08/2023,41.32,3572857,40.69,41.936,40.47
06/07/2023,40.87,3315877,38.73,40.975,38.23
06/06/2023,38.54,2438767,35.99,38.585,35.96
06/05/2023,36.37,1905169,37.57,37.64,36.00
06/02/2023,37.17,3639893,36.74,37.39,35.83
06/01/2023,35.68,3343784,36.99,37.02,35.46
05/31/2023,36.81,3315818,37.73,37.95,36.47
05/30/2023,38.54,1719536,38.56,39.17,38.16
05/26/2023,39.25,2297515,38.76,39.495,38.42
05/25/2023,38.52,2819922,37.92,38.68,37.425
05/24/2023,38.76,2054683,38.40,38.845,37.80
05/23/2023,38.03,2557280,38.58,39.06,37.82
05/22/2023,38.54,3027044,37.13,38.74,37.00
05/19/2023,36.97,3010577,37.71,37.85,36.52
05/18/2023,37.81,2209881,37.09,37.83,36.78
05/17/2023,37.30,3039448,36.10,37.39,35.77
05/16/2023,35.49,2804055,35.94,36.25,34.96
05/15/2023,36.33,2714114,35.39,36.58,35.10
05/12/2023,35.18,2238935,35.80,36.0299,34.90
05/11/2023,35.29,3197324,34.62,35.78,34.46
05/10/2023,35.47,5264341,34.14,36.25,33.86
05/09/2023,33.89,4905812,32.41,34.34,32.24
05/08/2023,32.69,5325917,32.98,34.09,32.60
05/05/2023,32.01,5962339,32.99,33.39,31.4607
05/04/2023,31.43,4735475,32.05,32.95,31.255
05/03/2023,32.45,4427982,33.42,34.06,31.71
05/02/2023,33.64,4147533,34.65,34.83,32.74
05/01/2023,35.19,2008783,34.29,35.29,34.13
04/28/2023,34.86,2165432,34.26,35.30,34.15
04/27/2023,34.38,2638457,34.31,34.98,33.64
04/26/2023,34.67,2911749,34.34,35.33,33.65
04/25/2023,34.54,3422312,36.00,36.00,34.155
04/24/2023,36.23,2374914,35.30,36.51,35.175
04/21/2023,35.54,2078277,35.66,35.95,35.10
04/20/2023,35.64,3373360,36.27,36.57,35.285
04/19/2023,36.84,3455591,37.33,37.34,35.91
04/18/2023,37.75,2360042,38.31,38.31,37.22
04/17/2023,38.53,2637310,38.50,38.65,37.46
04/14/2023,38.64,3073292,39.90,40.04,38.34
04/13/2023,39.87,3147819,40.00,40.24,38.34
04/12/2023,40.51,2936456,42.60,42.64,40.41
04/11/2023,42.64,2215198,41.85,42.79,41.39
04/10/2023,41.79,1748023,40.70,42.1384,40.62
04/06/2023,40.51,1647547,42.21,42.42,40.45
04/05/2023,42.20,3444586,39.96,42.32,39.80
04/04/2023,39.91,3624311,43.30,43.34,39.64
04/03/2023,43.35,3693118,45.30,45.43,41.73
03/31/2023,43.36,2246673,43.08,43.58,42.26
03/30/2023,43.19,1398180,44.57,44.58,42.90
03/29/2023,43.92,2506105,44.02,44.56,43.2245
03/28/2023,43.79,3256693,42.37,44.64,41.96
03/27/2023,42.52,2404699,41.85,43.02,40.74
03/24/2023,41.00,3933305,40.10,41.22,39.22
03/23/2023,41.25,3570211,43.25,44.36,40.89
03/22/2023,43.02,2847574,42.65,44.77,42.31
03/21/2023,42.79,3355730,43.49,43.60,42.14
03/20/2023,42.12,3173296,40.55,42.82,39.81
03/17/2023,40.42,8922371,40.01,41.04,39.54
03/16/2023,40.54,3204196,38.20,40.595,37.74
03/15/2023,39.17,4698800,39.71,39.71,37.32
03/14/2023,41.47,3249324,41.61,43.26,40.69
03/13/2023,41.29,3579797,42.06,43.005,40.4563
03/10/2023,44.28,2641585,45.39,46.75,44.20
03/09/2023,44.45,2566674,45.54,47.40,44.37
03/08/2023,45.46,2170782,46.67,47.73,44.57
03/07/2023,46.69,2035299,46.95,47.89,46.195
03/06/2023,47.17,1911319,47.33,47.75,46.77
03/03/2023,48.07,1991280,46.99,48.515,46.00
03/02/2023,47.33,2069757,46.53,47.86,46.09
03/01/2023,46.93,2823249,43.89,47.25,43.75
02/28/2023,43.71,3056838,45.49,45.60,43.71
02/27/2023,44.76,2106002,43.63,45.14,43.37
02/24/2023,43.54,2076232,43.19,43.785,41.55
02/23/2023,43.87,5445787,43.74,44.53,42.64
02/22/2023,42.75,2519331,44.05,44.925,42.12
02/21/2023,44.25,4026433,41.66,44.54,41.66
02/17/2023,41.84,4675414,45.40,45.67,41.30
02/16/2023,44.94,7640747,44.59,47.29,44.54
02/15/2023,41.78,2959927,41.20,42.01,40.51
02/14/2023,42.13,2190625,42.10,43.15,41.62
